注文日,商品名,請求金額,合計金額,個数,送料合計,ポイント利用額,クーポン利用総額,季節ラベル,ブランド名
2024-06-30,新品同様【中古】レリアン Leilian フロッキー加工カットソー 表記9号(38号/M相当) 茶/ブラウン 総透け感 半袖 伸縮 春夏向け トップス レディース,5602,6900,1,0,298.0,1000,春夏,レリアン
2024-06-30,新品同様【中古】バンベール VINVERT カットソー 表記 11号 L 40号 相当 古着 ピンク レディース 春 夏 春夏 トップス 長袖 レース ストレッチ きれいめ 綺麗め おしゃれ 上品 シンプル 透け感 大人 女性 40代 50代 日本製 三陽商会,5000,6000,1,0,0.0,1000,春夏,バンベール
2024-06-30,美品【中古】ジュンアシダ jun ashida スカートスーツ 表記 9号 M 38号 相当 古着 緑 グリーン レディース 秋 冬 秋冬 セットアップ 2点セット 毛100 ウール ノーカラー 膝丈 ひざ丈 クラシカル お出掛け お食事会 杉綾柄 大人 女性 50代 60代,10342,13099,1,0,1757.0,1000,秋冬,ジュンアシダ
2024-06-30,美品【中古】ダーマコレクション DAMA collection チュニックブラウス 長袖ブラウス ブラウス レディース 表記 9R M 38号 相当 古着 白 ホワイト 赤 レッド 花柄 お花 長袖 ハーフ丈 軽やか 涼しげ 薄手 おしゃれ かわいい お出掛け 春 秋 春秋 トップス 30代 40代 50代,3297,8000,1,0,4703.0,0,春秋,ダーマコレクション
2024-07-01,美品【中古】エフショップ f shop ダウンコート ダウン レディース 表記 L 11号 40号 相当 黒 ブラック ひし形 総柄 フリル スタンドカラー ダウン90％ ふっくら 軽やか 暖か おしゃれ かわいい エレガント 上品 大人 女性 お出掛け 秋冬 秋 冬 アウター 40代 50代 60代,21500,21500,1,0,0.0,0,秋冬,エフショップ
2024-07-01,新品同様【中古】ローラアシュレイ LAURA ASHLEY ハーフパンツ デニムパンツ 表記 11号 L 40号 相当 古着 濃紺 ネイビー レディース 春 夏 秋 冬 ボトムス 綿 コットン カジュアル ワイド シンプル 大人 女性 20代 30代 40代,7150,7150,1,0,0.0,0,通年,ローラアシュレイ
2024-07-01,新品同様【中古】アリスバーリー Aylesbury プリーツスカート フォーマル 表記 11号 L 40号 相当 古着 黒 ブラック シフォン 薄手 レディース 春 夏 春夏 ボトムス 大人 女性 20代 30代 レース 単品 日本製 お呼ばれ お食事会 膝丈 ひざ丈 透け感 軽い ふんわり プリーツ,10550,10550,1,0,0.0,0,春夏,アリスバーリー
2024-07-01,美品【中古】マドモアゼルノンノン Mademoiselle NON NON フレアスカート 大きい 大きいサイズ 表記 LL 13号 42号 2L 相当 古着 アイボリー系 レディース 春 秋 冬 秋冬 ボトムス 綿100 コットン 日本製 コットンデニム風 ミモレ丈 シンプル 大人 女性 30代 40代,10550,10550,1,0,0.0,0,秋冬,マドモアゼルノンノン
2024-07-01,新品【中古】トランスワーク TRANS WORK ジャケット ステンカラージャケット 小さいサイズ 小さい 表記 36号 7号 S 相当 グレー 艶感 ステンカラー 薄手 比翼 シンプル 無地 長袖 通勤 オフィス 美形 大人 30代 40代 50代 春 秋 アウター レディース 新品タグ付き,6499,6499,1,0,0.0,0,春秋,トランスワーク
2024-07-01,美品【中古】オールドイングランド OLD ENGLAND フレアスカート スカート 表記 38号 9号 Ｍ 相当 アイボリー系 淡色 麻100 リネン 膝丈 ひざ丈 薄手 シンプル 刺繍 裾レース レース 日本製 大人 大人可愛い 20代 30代 40代 お出掛け お食事会 春 夏 ボトムス レディース,4050,4050,1,0,0.0,0,春夏,オールドイングランド
2024-07-02,新品同様【中古】バーバリーブルーレーベル BURBERRY 上品なプリーツワンピース 小さいサイズ 表記38号(7号/S相当) 白 黒 千鳥格子柄 ロゴ釦 春夏向け レディース,13561,14400,1,0,839.0,0,春夏,バーバリーブルーレーベル
