OrderTime,Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,HolidayFlag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,AverageTemperature,Total Precipitation(mm)
2021-12-07,1,1,0,37070,2,0,0,0,0,0,0,0,1,0,0,1,1,11.8,9.5
2021-12-08,0,1,0,35380,1,0,2000,0,0,0,0,0,0,1,0,1,1,9.5,36.5
2021-12-09,2,0,1,20770,3,600,2344,0,0,0,0,1,0,0,0,1,1,10.2,0.0
2021-12-10,2,3,0,33828,5,600,8310,1,0,0,0,0,0,0,0,0,1,8.6,0.0
2021-12-11,0,1,1,37100,2,0,1000,0,0,1,0,0,0,0,1,1,1,9.4,0.0
2021-12-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,11.3,0.0
2021-12-13,2,0,0,10950,2,600,2841,0,1,0,0,0,0,0,0,1,0,9.7,0.0
2021-12-14,0,1,1,31200,2,0,5610,0,0,0,0,0,1,0,0,1,0,5.1,5.5
2021-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.6,0.0
2021-12-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9.5,0.0
2021-12-17,1,0,0,7700,1,600,2310,1,0,0,0,0,0,0,0,1,0,8.7,6.0
2021-12-18,1,0,0,2780,1,0,0,0,0,1,0,0,0,0,1,1,0,4.5,0.0
2021-12-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.3,0.0
2021-12-20,3,0,1,66460,4,0,13040,0,1,0,0,0,0,0,0,1,0,6.4,0.0
2021-12-21,2,0,0,32480,2,0,9300,0,0,0,0,0,1,0,0,0,0,8.2,0.0
2021-12-22,1,0,0,12700,1,0,3810,0,0,0,0,0,0,1,0,1,0,8.8,0.0
2021-12-23,1,0,0,2780,1,0,300,0,0,0,0,1,0,0,0,1,0,8.3,0.0
2021-12-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.0,0.5
2021-12-25,1,1,0,22400,2,0,4410,0,0,1,0,0,0,0,1,1,0,8.3,3.5
2021-12-26,3,0,0,26780,3,0,3300,0,0,0,1,0,0,0,1,1,0,3.5,0.0
2021-12-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.7,0.0
2021-12-28,1,0,0,2480,1,0,300,0,0,0,0,0,1,0,0,1,0,3.8,0.0
2021-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.2,0.0
2021-12-30,2,0,0,35200,2,0,600,0,0,0,0,1,0,0,0,0,0,6.5,0.0
2021-12-31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2,0.0
2022-01-01,4,0,3,92184,7,0,132600,0,0,1,0,0,0,0,1,1,0,3.4,0.0
2022-01-02,1,0,0,1984,1,0,0,0,0,0,1,0,0,0,1,1,0,3.5,0.0
2022-01-03,2,0,3,89380,5,0,173800,0,1,0,0,0,0,0,0,1,0,5.5,0.0
2022-01-04,1,0,0,2224,1,0,0,0,0,0,0,0,1,0,0,0,0,5.2,0.0
2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.1,0.0
2022-01-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7,6.5
2022-01-07,0,0,1,7700,1,600,800,1,0,0,0,0,0,0,0,1,0,2.6,0.0
2022-01-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.5,0.0
2022-01-09,2,0,0,18210,2,0,4829,0,0,0,1,0,0,0,1,1,0,6.3,0.0
2022-01-10,4,2,1,101280,7,0,106404,0,1,0,0,0,0,0,1,1,1,7.7,0.0
2022-01-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5.7,16.0
2022-01-12,1,0,1,25850,2,0,0,0,0,0,0,0,0,1,0,1,1,5.0,0.0
2022-01-13,1,0,0,16800,1,0,1000,0,0,0,0,1,0,0,0,1,1,5.7,0.0
2022-01-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.4,0.0
2022-01-15,2,0,0,45900,2,0,4000,0,0,1,0,0,0,0,1,1,1,5.5,0.0
2022-01-16,1,0,0,25080,1,0,0,0,0,0,1,0,0,0,1,1,1,5.4,0.0
2022-01-17,1,0,0,27500,1,0,8250,0,1,0,0,0,0,0,0,1,0,6.0,0.0
2022-01-18,1,0,0,18480,1,0,5544,0,0,0,0,0,1,0,0,1,0,4.4,0.0
2022-01-19,1,0,0,16500,1,0,4950,0,0,0,0,0,0,1,0,1,0,3.7,0.0
2022-01-20,2,0,1,32550,3,0,7445,0,0,0,0,1,0,0,0,0,0,3.4,0.0
2022-01-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,0.0
2022-01-22,0,0,1,34100,1,0,0,0,0,1,0,0,0,0,1,1,0,4.5,0.0
2022-01-23,1,0,0,16000,1,0,0,0,0,0,1,0,0,0,1,1,0,5.1,0.0
2022-01-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.4,0.0
2022-01-25,3,1,0,52130,4,600,12405,0,0,0,0,0,1,0,0,1,1,5.2,0.0
2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.5,0.0
2022-01-27,1,0,0,19800,1,0,0,0,0,0,0,1,0,0,0,1,1,6.8,0.0
2022-01-28,1,0,1,43660,2,0,13098,1,0,0,0,0,0,0,0,1,1,6.6,0.0
2022-01-29,2,1,0,32340,3,600,7592,0,0,1,0,0,0,0,1,1,0,5.9,0.0
2022-01-30,0,0,1,7150,1,600,2145,0,0,0,1,0,0,0,1,1,0,5.2,0.0
2022-01-31,1,0,0,22900,1,0,0,0,1,0,0,0,0,0,0,1,0,4.9,0.0
