Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
2,1,1,89250,4,0,18500,0,0,0,0,0,1,0,0,1,1,20.4,24.4,16.8,0.0,0,0,1,1,1,1,1,1,0,0,2,0
0,1,0,31400,1,0,15700,0,0,0,0,0,0,1,0,1,1,20.3,25.0,16.9,0.5,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,4100,1,0,200,0,0,0,0,1,0,0,0,1,1,20.5,22.5,18.3,14.0,0,0,1,0,0,0,1,0,0,0,0,0
11,4,2,280000,17,0,402527,1,0,0,0,0,0,0,0,0,1,24.8,30.0,20.6,0.0,0,0,0,3,4,10,8,0,2,5,2,0
1,0,0,62400,1,0,31200,0,0,1,0,0,0,0,1,1,1,25.0,29.1,22.7,0.0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,24.4,26.9,22.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.2,30.7,21.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,22.8,25.7,19.8,5.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22.9,28.5,19.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,45100,2,0,2530,0,0,0,0,1,0,0,0,1,0,22.3,27.4,19.4,0.0,0,0,0,1,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.3,25.2,17.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,23.7,26.0,22.0,124.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,23.9,29.2,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,28400,1,0,11076,0,1,0,0,0,0,0,1,1,1,22.4,28.3,17.8,0.0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22.7,27.9,18.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,24.9,29.5,20.6,1.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,36800,1,0,14352,0,0,0,0,1,0,0,1,1,1,26.6,31.7,22.9,0.0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,25.4,30.6,21.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,17000,1,0,0,0,0,1,0,0,0,0,1,1,0,22.1,24.5,20.3,0.0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,19000,1,0,0,0,0,0,1,0,0,0,1,1,0,19.9,21.3,18.2,0.0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20.1,24.8,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21.1,26.6,16.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21.9,26.3,17.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.2,29.2,19.3,4.5,0,0,0,0,0,0,0,0,0,0,0,0
