,OrderTime,Brand,TotalPrice,Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High
1695,2022-01-01 00:00:00,伊太利屋,66300,0,0,0,1,0,0
1694,2022-01-02 00:00:00,ノーブランド,1984,0,1,0,0,0,0
1690,2022-01-03 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1689,2022-01-03 00:00:00,エスカーダ,86900,0,0,0,0,0,1
1692,2022-01-03 00:00:00,レリアン,86900,0,0,0,0,0,1
1691,2022-01-03 00:00:00,ローレル,86900,0,0,0,0,0,1
1693,2022-01-03 00:00:00,ローラアシュレイ,86900,0,0,0,1,0,0
1688,2022-01-04 00:00:00,ファーバッグ,2224,1,0,0,0,0,0
1687,2022-01-07 00:00:00,スピックアンドスパン,8300,0,1,0,0,0,0
1686,2022-01-09 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1685,2022-01-09 00:00:00,23区,15730,0,0,1,0,0,0
1684,2022-01-10 00:00:00,アイシービー,24800,0,0,0,0,1,0
1683,2022-01-10 00:00:00,タルボット,12980,0,0,1,0,0,0
1682,2022-01-10 00:00:00,インディヴィ,50100,0,0,0,1,0,0
1681,2022-01-10 00:00:00,絵麻亥由エマイユ,13400,0,0,1,0,0,0
1680,2022-01-10 00:00:00,アンタイトル,50100,0,0,1,0,0,0
1679,2022-01-10 00:00:00,イギン,50100,0,0,0,0,0,1
1678,2022-01-10 00:00:00,組曲,50100,0,0,1,0,0,0
1676,2022-01-12 00:00:00,ラルフローレン,12100,0,0,1,0,0,0
1677,2022-01-12 00:00:00,ポールスチュアート,13750,0,0,0,1,0,0
1675,2022-01-13 00:00:00,エルプラネット,16800,0,0,0,1,0,0
1674,2022-01-15 00:00:00,グレード,22900,0,0,0,1,0,0
1673,2022-01-15 00:00:00,スキャパ,23000,0,0,0,1,0,0
1672,2022-01-16 00:00:00,ジュンアシダ,25080,0,0,0,0,1,0
1671,2022-01-17 00:00:00,ジバンシイ,27500,0,0,0,1,0,0
1670,2022-01-18 00:00:00,マーガレットハウエル,18480,0,0,0,1,0,0
1669,2022-01-19 00:00:00,ノーブランド,16500,0,1,0,0,0,0
1668,2022-01-20 00:00:00,ポールアンドジョー,14400,0,0,1,0,0,0
1667,2022-01-20 00:00:00,バナナリパブリック,14400,0,0,1,0,0,0
1666,2022-01-20 00:00:00,東京ソワール,18150,0,0,0,0,1,0
1665,2022-01-22 00:00:00,ハーディエイミス,34100,0,0,0,0,0,1
1664,2022-01-23 00:00:00,ラコステ,16000,0,0,1,0,0,0
1660,2022-01-25 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1661,2022-01-25 00:00:00,東京ソワール,34200,0,0,0,0,1,0
1663,2022-01-25 00:00:00,コムサデモード,7750,0,0,0,1,0,0
1662,2022-01-25 00:00:00,レリアン,8300,0,0,0,0,0,1
1659,2022-01-27 00:00:00,ナチュラルビューティー,19800,0,0,0,1,0,0
1658,2022-01-28 00:00:00,オットーコレクション,23200,0,0,0,1,0,0
1657,2022-01-28 00:00:00,ユキトリイ,20460,0,0,0,0,1,0
1654,2022-01-29 00:00:00,J.プレス,8300,0,1,0,0,0,0
1656,2022-01-29 00:00:00,J.プレス,11000,0,1,0,0,0,0
1655,2022-01-29 00:00:00,ハナエモリ,13640,0,0,1,0,0,0
1653,2022-01-30 00:00:00,ギビー,7750,0,0,0,1,0,0
1652,2022-01-31 00:00:00,銀座マギー,22900,0,0,0,1,0,0
1651,2022-02-01 00:00:00,へっぽこ先生,34500,0,0,0,0,0,1
1650,2022-02-01 00:00:00,スペッチオ,13900,0,0,1,0,0,0
1649,2022-02-04 00:00:00,東京ソワール,28000,0,0,0,0,1,0
1648,2022-02-04 00:00:00,マックスマーラ,28400,0,0,0,1,0,0
1647,2022-02-04 00:00:00,スペッチオ,13420,0,0,1,0,0,0
1646,2022-02-05 00:00:00,フォクシー,51500,0,0,0,0,0,1
1645,2022-02-05 00:00:00,アポロベリー,23600,0,0,0,0,1,0
1644,2022-02-05 00:00:00,ピエールカルダン,21700,0,0,0,1,0,0
1643,2022-02-06 00:00:00,セオリー,8500,0,0,0,0,1,0
1642,2022-02-06 00:00:00,モガ,9000,0,1,0,0,0,0
1640,2022-02-09 00:00:00,詩仙堂,19000,0,0,0,1,0,0
1641,2022-02-09 00:00:00,カオリーヌ,17050,0,0,0,1,0,0
1639,2022-02-11 00:00:00,バーバリー,26200,0,0,0,0,0,1
1638,2022-02-12 00:00:00,ファーバッグ,2780,1,0,0,0,0,0
1637,2022-02-14 00:00:00,銀座マギー,14770,0,0,0,1,0,0
1636,2022-02-15 00:00:00,アイグナー,24800,0,0,0,1,0,0
1635,2022-02-16 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1634,2022-02-18 00:00:00,ノーブランド,2480,0,1,0,0,0,0
1633,2022-02-22 00:00:00,インディヴィ,12650,0,0,0,1,0,0
1632,2022-02-22 00:00:00,ハーディエイミス,19800,0,0,0,0,0,1
1630,2022-02-23 00:00:00,マークジェイコブス,11000,0,0,1,0,0,0
1631,2022-02-23 00:00:00,ミスアシダ,11000,0,0,1,0,0,0
1628,2022-02-26 00:00:00,ローラアシュレイ,21120,0,0,0,1,0,0
1629,2022-02-26 00:00:00,ラピカ,7200,0,1,0,0,0,0
1627,2022-02-28 00:00:00,23区,13200,0,0,1,0,0,0
1626,2022-03-04 00:00:00,ヒロコビス,19600,0,0,1,0,0,0
1625,2022-03-04 00:00:00,イネド,7980,0,0,1,0,0,0
1624,2022-03-04 00:00:00,ダックス,13300,0,0,0,1,0,0
1623,2022-03-04 00:00:00,ファーバッグ,1946,1,0,0,0,0,0
1622,2022-03-04 00:00:00,ヴァレンティノ,39900,0,0,0,0,0,1
1621,2022-03-05 00:00:00,アンタイトル,5600,0,0,1,0,0,0
1620,2022-03-05 00:00:00,伊太利屋,9450,0,0,0,1,0,0
1619,2022-03-06 00:00:00,アーバンリサーチ,22400,0,0,0,0,1,0
1618,2022-03-06 00:00:00,ボッシュ,22400,0,0,1,0,0,0
1617,2022-03-06 00:00:00,ノーブランド,1736,0,1,0,0,0,0
1616,2022-03-06 00:00:00,アニエスベー,7700,0,0,1,0,0,0
1615,2022-03-06 00:00:00,アンタイトル,8260,0,0,1,0,0,0
1614,2022-03-06 00:00:00,東京イギン,22400,0,0,0,0,0,1
1613,2022-03-08 00:00:00,イッセイミヤケ,19460,0,0,0,0,1,0
1612,2022-03-09 00:00:00,ジュンアシダ,14000,0,0,0,0,1,0
1611,2022-03-10 00:00:00,アナイ,18200,0,0,0,0,1,0
1610,2022-03-10 00:00:00,ヒロココシノ,9100,0,0,0,1,0,0
1609,2022-03-10 00:00:00,伊太利屋,13510,0,0,0,1,0,0
1608,2022-03-14 00:00:00,ナラカミーチェ,8520,0,1,0,0,0,0
1607,2022-03-15 00:00:00,ニナリッチ,41800,0,0,0,0,0,1
1606,2022-03-20 00:00:00,ユキトリイ,30800,0,0,0,0,1,0
1605,2022-03-21 00:00:00,銀座マギー,18150,0,0,0,1,0,0
1604,2022-03-22 00:00:00,クードシャンス,8900,0,0,1,0,0,0
1603,2022-03-22 00:00:00,ミスアシダ,21500,0,0,1,0,0,0
1602,2022-03-23 00:00:00,十仁プラザ,11000,0,0,0,1,0,0
1597,2022-03-26 00:00:00,自由区,9620,0,0,1,0,0,0
1598,2022-03-26 00:00:00,アイシービー,20900,0,0,0,0,1,0
1600,2022-03-26 00:00:00,レスピーギ,8800,0,1,0,0,0,0
1601,2022-03-26 00:00:00,バーバリーブルーレーベル,34200,0,0,0,1,0,0
1599,2022-03-26 00:00:00,プランドヴィー,26620,0,0,0,0,0,1
1595,2022-03-27 00:00:00,バーバリー,22500,0,0,0,0,0,1
1594,2022-03-27 00:00:00,東京ソワール,30000,0,0,0,0,1,0
1596,2022-03-27 00:00:00,シャレブラン,9400,0,1,0,0,0,0
1593,2022-03-28 00:00:00,プリーツプリーズ,21450,0,0,0,0,0,1
1592,2022-03-28 00:00:00,プリーツプリーズ,20900,0,0,0,0,0,1
1591,2022-03-29 00:00:00,クリッツィア,8080,0,0,0,1,0,0
1590,2022-04-04 00:00:00,エムズグレイシー,35800,0,0,0,0,1,0
1589,2022-04-04 00:00:00,ポールスチュアート,35800,0,0,0,1,0,0
1588,2022-04-06 00:00:00,ヴィアファブリカ,6100,0,1,0,0,0,0
1587,2022-04-07 00:00:00,コムサイズム,15400,0,1,0,0,0,0
1586,2022-04-07 00:00:00,シビラ,20680,0,0,1,0,0,0
1585,2022-04-07 00:00:00,ピエールカルダン,21700,0,0,0,1,0,0
1582,2022-04-10 00:00:00,ジバンシイ,32500,0,0,0,1,0,0
1583,2022-04-10 00:00:00,ピエールカルダン,6800,0,0,0,1,0,0
1584,2022-04-10 00:00:00,レリアン,18300,0,0,0,0,0,1
1581,2022-04-11 00:00:00,ナラカミーチェ,7200,0,1,0,0,0,0
1580,2022-04-12 00:00:00,レリアン,19400,0,0,0,0,0,1
1579,2022-04-12 00:00:00,東京イギン,32000,0,0,0,0,0,1
1578,2022-04-13 00:00:00,東京イギン,27800,0,0,0,0,0,1
1577,2022-04-13 00:00:00,バーニーズニューヨーク,8300,0,0,1,0,0,0
1576,2022-04-15 00:00:00,レリアン,27600,0,0,0,0,0,1
1575,2022-04-15 00:00:00,スペッチオ,27600,0,0,1,0,0,0
1574,2022-04-16 00:00:00,ボールジー,8300,0,0,0,1,0,0
1573,2022-04-16 00:00:00,スペッチオ,13900,0,0,1,0,0,0
1572,2022-04-16 00:00:00,レリアン,15200,0,0,0,0,0,1
1571,2022-04-17 00:00:00,組曲,10000,0,0,1,0,0,0
1570,2022-04-20 00:00:00,レリアン,15000,0,0,0,0,0,1
1569,2022-04-23 00:00:00,プラステ,8500,0,0,1,0,0,0
1568,2022-04-25 00:00:00,ハーモニカ,13200,0,0,1,0,0,0
1567,2022-04-26 00:00:00,カルヴェン,27500,0,0,0,1,0,0
1566,2022-04-27 00:00:00,ミゼール,25900,0,0,0,1,0,0
1565,2022-04-27 00:00:00,レリアン,25900,0,0,0,0,0,1
1564,2022-04-28 00:00:00,セオリー,14080,0,0,0,0,1,0
1563,2022-05-02 00:00:00,バーニーズニューヨーク,12650,0,0,1,0,0,0
1562,2022-05-07 00:00:00,プラステ,8500,0,0,1,0,0,0
1561,2022-05-10 00:00:00,イッセイミヤケ,22550,0,0,0,0,1,0
1560,2022-05-10 00:00:00,ボッシュ,12000,0,0,1,0,0,0
1559,2022-05-12 00:00:00,ジュンアシダ,19800,0,0,0,0,1,0
1558,2022-05-12 00:00:00,スペッチオ,11550,0,0,1,0,0,0
1554,2022-05-15 00:00:00,キャラオクルス,7700,0,0,1,0,0,0
1557,2022-05-15 00:00:00,アマカ,8300,0,1,0,0,0,0
1556,2022-05-15 00:00:00,ザラ,7750,0,1,0,0,0,0
1555,2022-05-15 00:00:00,銀座マギー,23800,0,0,0,1,0,0
1553,2022-05-16 00:00:00,ノーベスパジオ,5600,0,0,0,0,1,0
1552,2022-05-17 00:00:00,お洒落リバーシブルスカート,6100,0,1,0,0,0,0
1551,2022-05-17 00:00:00,ハーモニカ,7400,0,0,1,0,0,0
1550,2022-05-17 00:00:00,シャミーロイヤル,6800,0,1,0,0,0,0
